time,T
0 ,16
1 ,15.6987
2 ,15.2882
3 ,14.9868
4 ,14.6582
5 ,14.6568
6 ,15.01
7 ,15.7723
8 ,16.6709
9 ,17.515
10 ,18.0045
11 ,18.6577
12 ,19.1743
13 ,19.3914
14 ,19.499
15 ,19.5796
16 ,19.4964
17 ,19.3041
18 ,19.0027
19 ,18.6196
20 ,18.0727
21 ,17.4714
22 ,16.8973
23 ,16.3777
