time,T
0 ,16.5394
1 ,16.1853
2 ,15.8037
3 ,15.5312
4 ,15.3134
5 ,15.2589
6 ,16.049
7 ,19.3733
8 ,23.3243
9 ,26.1308
10 ,27.0572
11 ,25.9946
12 ,24.9864
13 ,23.7057
14 ,23.406
15 ,23.3243
16 ,22.9973
17 ,22.3706
18 ,21.4441
19 ,20.436
20 ,19.3188
21 ,18.3106
22 ,17.4659
23 ,16.921
