time,T
0 ,13.8965
1 ,13.4877
2 ,13.1063
3 ,12.8883
4 ,12.8065
5 ,13.406
6 ,15.0954
7 ,18.3106
8 ,22.2343
9 ,26.5394
10 ,30.5995
11 ,33.5967
12 ,35.4223
13 ,36.0763
14 ,35.4223
15 ,33.8965
16 ,31.5531
17 ,29.2371
18 ,26.3488
19 ,23.1335
20 ,19.4278
21 ,16.5668
22 ,15.1226
23 ,14.4959
