time,T
0 ,17.3025
1 ,16.9482
2 ,16.6484
3 ,16.4033
4 ,16.158
5 ,16.0763
6 ,16.0763
7 ,16.2398
8 ,16.7302
9 ,17.3569
10 ,18.2016
11 ,19.7003
12 ,21.5804
13 ,22.3706
14 ,21.9891
15 ,21.3351
16 ,20.7902
17 ,20.2997
18 ,19.8093
19 ,19.2916
20 ,18.8283
21 ,18.3106
22 ,17.8747
23 ,17.5476
