time,T
0 ,9.1857
1 ,9.1421
2 ,8.0956
3 ,7.5045
4 ,7.2772
5 ,8.1427
6 ,18.5572
7 ,37.523
8 ,60.3998
9 ,80.7307
10 ,103.7899
11 ,123.1202
12 ,140.2667
13 ,149.4083
14 ,147.5453
15 ,135.9457
16 ,126.7128
17 ,105.1088
18 ,82.4137
19 ,55.6245
20 ,28.4721
21 ,16.4194
22 ,11.4607
23 ,9.4183
