time ,T
0 ,17.7929
1 ,17.4932
2 ,17.1935
3 ,16.8937
4 ,16.6484
5 ,16.5939
6 ,16.6757
7 ,17.248
8 ,18.1743
9 ,19.2098
10 ,20.2997
11 ,22.0436
12 ,23.515
13 ,25.3406
14 ,27.3841
15 ,28.5013
16 ,26.921
17 ,25.8582
18 ,24.1689
19 ,22.0436
20 ,20.2997
21 ,19.2371
22 ,18.5831
23 ,18.1743
